,ID_PRODUCTO,CODIGOPRINCIPAL,NOMBRE,PRECIOSINIVA,STOCK,BODEGA,CATEGORIA,COD_AUXILIAR,PESO,TIPO_SOLUCIONES,CONTROL_SERIES,SUBCATEGORIA,UNIDAD_MEDIDA,MARCA,MODELO,COSTO,ESTADO
26,1330639,CC00319,ADAPTADOR HUB-VGA (TYPE-C 3 PUERTOS EN 1),53.5625,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00319,0,,NO,,UNIDAD,,,35.0,ACTIVO
27,165869,2489429866608,ADAPTADOR JACK LIGHTNING TO PLUG IN 3.5MM BLUETOOTH,17.848214,1,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,2489429866608,0,,NO,,UNIDAD,,,0.0,ACTIVO
28,1537905,916667,ADAPTADOR LIGHTNING TO DIGITAL AV ( ORI ),61.607143,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,916667,0,,NO,,UNIDAD,,,30.0,ACTIVO
29,1028208,AC00890,ADAPTADOR MULTIPLE TYPE-C A 7 PUERTOS  FOR MACBOOK,66.955357,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00890,0,,NO,MACBOOK ,UNIDAD,,,33.0,ACTIVO
30,1322064,CC00318,ADAPTADOR OTG USB A TYPE-C (USB A TYPE-C),13.39,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00318,0,,NO,CARGADOR,UNIDAD,,,2.67,ACTIVO
31,1322063,CC00317,ADAPTADOR OTG-C A USB  (TYPE-C A USB),13.39,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00317,0,,NO,CARGADOR,UNIDAD,,,2.67,ACTIVO
32,165911,0026436,ADAPTADOR RCA A HDMI ALUMINIO,26.776786,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,26436,0,,NO,,UNIDAD,,,0.0,ACTIVO
33,1214089,AC00933,ADAPTADOR SAMSUNG 3.5MM AUDIO JACK A  USB-C BLANCO OEM CERTIFICADO,13.39,1,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00933,0,,NO,,UNIDAD,,,2.5,ACTIVO
34,1214090,AC00934,ADAPTADOR SAMSUNG 3.5MM AUDIO JACK A  USB-C OEM NEGRO CERTIFICADO,13.39,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00934,0,,NO,,UNIDAD,,,2.5,ACTIVO
35,1189788,CC00294,ADAPTADOR SAMSUNG USB-C SUPER CARGA 25W ( OEM ) NEGRO,17.848214,1,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00294,0,,NO,CARGADOR,UNIDAD,,,5.27,ACTIVO
36,1841285,CC00341,ADAPTADOR SAMSUNG USB-C SUPER CARGA 25W ( ORI ) NEGRO,26.776786,1,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00341,0,,NO,ADAPTADOR ,UNIDAD,,,,ACTIVO
37,1418126,CC00323,ADAPTADOR SAMSUNG USB-C SUPER CARGA 45W ( OEM ) NEGRO,22.3125,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00323,0,,NO,,UNIDAD,,,7.5,ACTIVO
38,1322060,CC00314,ADAPTADOR THUNDERBOLT  (TYPE-C 6 PUERTOS EN 1),53.57,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00314,0,,NO,CARGADOR,UNIDAD,,,26.78,ACTIVO
39,1322059,CC00313,ADAPTADOR THUNDERBOLT  (TYPE-C 7 PUERTOS EN 1),58.03,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,CC00313,0,,NO,CARGADOR,UNIDAD,,,31.25,ACTIVO
40,165854,0021101,ADAPTADOR THUNDERBOLT A HDMI PARA IPAD / MACBOOK,16.07,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,21101,0,,NO,,UNIDAD,,,0.0,ACTIVO
41,855936,MB00018,ADAPTADOR TYPE-C A 4 PUERTOS USB C-809 MACBOOCK/IPAD,20.535714,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,MB00018,0,,NO,,UNIDAD,,,5.0,ACTIVO
42,1128448,AC00904,ADAPTADOR TYPE-C A HDMI / PUERTO-C /PUERTO USB LZ04V,20.535714,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,AC00904,0,,NO,MACBOOK ,UNIDAD,,,5.0,ACTIVO
43,1168017,DA00209,ADAPTADOR TYPE-C A JACK 3.5 BASEUS,15.625,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,DA00209,0,,NO,,UNIDAD,,,16.07,ACTIVO
44,165827,0021096,ADAPTADOR TYPE-C A MULTI ADAPTADOR MACBOOK,42.86,0,B. X LEVEL L28,ADAPTADORES & CARGADORES & CABLE USB,21096,0,,NO,,UNIDAD,,,0.0,ACTIVO
